name,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021
James Gilbert,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no
Christopher Stafford,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,no
Heather Davis,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no
David Thompson,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no
Alan Barr,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no
Sergio Stevens,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes
Debra Nguyen,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Shannon Garrett,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no
Dawn Perry,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Annette Walker,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Christopher Chan,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no
Connie Crawford,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Theresa Reed,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no
Meghan Scott,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no
Jeffrey Brock,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no
Kimberly Martin,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no
Courtney Brooks,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no
Benjamin Mccann,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,yes
Corey Harmon,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no
Melanie Ward,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no
Shirley Smith,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no
Billy Armstrong,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no
Jeffrey Lopez,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no
Taylor Mclaughlin,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no
Bethany Lewis,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Andrew Flynn,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
Mario Perez,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes
Rebecca Medina,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes
Kevin Vazquez,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no
Todd Mcdaniel,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no
Natasha Brown,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Annette Joyce,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Melinda Banks,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no
Audrey Lambert,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
Samantha Randall,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no
Lauren Noble,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Elizabeth Chavez,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
Sandy Johnson,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Christopher Curtis,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,yes,no,no
John Adams,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,yes
Darlene Young,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no
Michael Norman,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no
Heather Howard,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no
Mr. Daniel Washington,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no
Elizabeth Green,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no
Sophia Mckinney,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,yes
Kayla Taylor,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no
Amanda Gray,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no
Heidi Michael,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Daniel Rivera,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no
Zachary Lara,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no
Cheryl West,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
Dillon Beck,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no
Catherine Brown,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Scott Galloway,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no
Kimberly Trevino,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no
Anthony Holmes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no
Jeffrey Ray,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no
Stephanie Ramirez,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no
Nicole Adams,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no
Derrick York,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes
Richard Fox,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no
Tim Ortega,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Kathryn Gomez,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes
Timothy Moore,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
Heather Anderson,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Bradley Fuller,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no
David Oliver,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no
Charles Rodriguez,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no
Rodney Vincent,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,no
Alexandra Garcia,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no
Tammy Russo,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no
Peter Silva,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes
Caleb Cox,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no
Sara Mendoza,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no
Evelyn Hernandez,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Chase Lowe,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no
Cassandra Rosario,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no
Zachary Zuniga,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Aaron Cruz,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no
Joseph Stanley,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Mr. Anthony Russell PhD,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Gloria Flores,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Phillip Rios,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no
Sarah Holmes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no
Kara Douglas,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes
Rebecca Rodriguez,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no
Lauren Reynolds,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no
Sara Krueger,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no
Tracie West,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no
John Hayes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no
Stephen Bolton,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,no
Ronald Lopez,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,no
Kristen Reed,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no
Tamara Cole,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes
Christopher Villarreal,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no
Shari Carroll,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no
Scott Willis,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no
Abigail Williams,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no
Aaron Walter,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no
Colton Tucker,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,no
Leslie Rogers,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no
Lori Kent,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no
Becky Williams,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,no
Megan Young,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no
Paul Bradley,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Christian Flowers,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no
Cindy Duke,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no
Shelby Moore,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no
Warren Gutierrez,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no
Tyler Miller,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,yes
Bradley Petersen,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no
Cheryl Calhoun,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,no,no
Brittany Garcia,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no
Jessica Russell,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Hector Christian,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
Jennifer Sweeney,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Martin Baker,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no
Mary Ross,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,no
Wendy Adkins,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
Elizabeth Wells,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no
William Romero,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
Thomas Johnson,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no
Denise Jones,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,no
Angela Mcdonald DDS,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no
Tracy Golden,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes
Arthur Aguilar,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Tamara Patel,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes
Leah Ware,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no
Alexander Wheeler,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no
Theresa Watson,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no
Patricia Day,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no
Nicholas Herman,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes
Mark Barnes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
Randall Kirby,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no
Paula Brown,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no
Ashley Phillips,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no
Dr. Heather Green,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no
Stephanie Jacobson,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,no
Kenneth Watson,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no
Jessica Kelley,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no
Christopher Hancock,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,no
Nicole Perkins,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
Michele Bridges,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no
Sarah Morrow,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no
Ms. Amanda Beasley,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Patricia Whitaker,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,yes
Kelsey Estes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes
Jason Allen,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Alex Oneal,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Lori Bailey,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no
Nathan Richardson,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,yes
Jessica Ford,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Paula Bautista,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no
Ashley Russell,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no
Lonnie Mays,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no
Tanya Wheeler,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no
Raymond Murray,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no
Tiffany Ray,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no
Samuel Smith,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no
